pgNo,startX,startY,endX,endY,w,h,fntSize,txtColor,txtFnt,pgW,pgH,topMargin,bottomMargin,leftMargin,rightMargin,o,docName,label
1,47.47,645.35,348.59,651.14,301.12,5.79,11.7,-16777216,Calibri-Bold,612,792,645.35,140.86,47.47,263.41,1-All conditions are on the basis 26/27 days a month,alsecure.pdf,Undefined
1,47.47,657.38,229.12,663.17,181.65,5.79,11.7,-16777216,Calibri-Bold,612,792,657.38,128.83,47.47,382.88,2- This Bill is to be paid by 5th of current month,alsecure.pdf,Undefined
1,47.58,565.88,265.24,571.98,217.66,6.1,12.2,-16777216,ArialMT,612,792,565.88,220.02,47.58,346.76,Forty Five Thousand One Hundred & Fifty Three Only,alsecure.pdf,Undefined
1,352.84,553.42,427.87,559.84,75.03,6.42,12.97,-16777216,Calibri-Bold,612,792,553.42,232.16,352.84,184.13,Add: IGST @ 18 %,alsecure.pdf,Undefined
1,491.06,553.74,524.11,559.84,33.05,6.1,12.2,-16777216,ArialMT,612,792,553.74,232.16,491.06,87.89,6887.7,alsecure.pdf,Undefined
1,352.84,566.78,394.36,573.2,41.52,6.42,12.97,-16777216,Calibri-Bold,612,792,566.78,218.8,352.84,217.64,Round off,alsecure.pdf,Undefined
1,498.68,567.1,516.48,573.2,17.8,6.1,12.2,-16777216,ArialMT,612,792,567.1,218.8,498.68,95.52,0.3,alsecure.pdf,Undefined
1,352.84,577.93,453.42,584.35,100.58,6.42,12.97,-16777216,Calibri-Bold,612,792,577.93,207.65,352.84,158.58,Total Amount after Tax:,alsecure.pdf,Undefined
1,488.52,578.25,526.66,584.35,38.14,6.1,12.2,-16777216,ArialMT,612,792,578.25,207.65,488.52,85.34,45153,alsecure.pdf,Amount
1,278.65,690.76,336.45,697.18,57.8,6.42,12.97,-16777216,Calibri-Bold,612,792,690.76,94.82,278.65,275.55,Common Seal,alsecure.pdf,Undefined
1,49.35,515.22,99.2,528.37,49.85,13.15,26.31,-16777216,BookmanOldStyle-Bold,612,792,515.22,263.63,49.35,512.8,Total,alsecure.pdf,Undefined
1,436.63,519.07,469.69,525.17,33.06,6.1,12.2,-16777216,ArialMT,612,792,519.07,266.83,436.63,142.31,6887.7,alsecure.pdf,Undefined
1,488.52,519.07,526.66,525.17,38.14,6.1,12.2,-16777216,ArialMT,612,792,519.07,266.83,488.52,85.34,45152.7,alsecure.pdf,Undefined
1,47.58,539.4,175.79,545.82,128.21,6.42,12.97,-16777216,Calibri-Bold,612,792,539.4,246.18,47.58,436.21,Total Invoice amount in words,alsecure.pdf,Undefined
1,352.84,539.18,458.05,545.6,105.21,6.42,12.97,-16777216,Calibri-Bold,612,792,539.18,246.4,352.84,153.95,Total Amount before Tax,alsecure.pdf,Undefined
1,488.52,539.5,526.66,545.6,38.14,6.1,12.2,-16777216,ArialMT,612,792,539.5,246.4,488.52,85.34,38265,alsecure.pdf,Undefined
1,64.25,362.15,280.46,368.4,216.21,6.25,12.49,-16777216,ArialMT,612,792,362.15,423.6,64.25,331.54,Consolidated charges for round the clock Attendant,alsecure.pdf,Undefined
1,64.25,373.97,289.18,380.22,224.93,6.25,12.49,-16777216,ArialMT,612,792,373.97,411.78,64.25,322.82,Coverage to your 01 in number Offices situated in the,alsecure.pdf,Undefined
1,64.25,385.78,140.14,392.03,75.89,6.25,12.49,-16777216,ArialMT,612,792,385.78,399.97,64.25,471.86,state of Rajasthan,alsecure.pdf,Undefined
1,436.63,363.19,469.69,369.29,33.06,6.1,12.2,-16777216,ArialMT,612,792,363.19,422.71,436.63,142.31,6887.7,alsecure.pdf,Undefined
1,488.52,363.19,526.66,369.29,38.14,6.1,12.2,-16777216,ArialMT,612,792,363.19,422.71,488.52,85.34,45152.7,alsecure.pdf,Undefined
1,47.58,232.82,125.01,239.24,77.43,6.42,12.97,-16777216,Calibri-Bold,612,792,232.82,552.76,47.58,486.99,State: RAJASTHAN,alsecure.pdf,Undefined
1,352.84,232.82,450.6,239.24,97.76,6.42,12.97,-16777216,Calibri-Bold,612,792,232.82,552.76,352.84,161.4,State: UTTAR PRADESH,alsecure.pdf,Undefined
1,51.45,256.76,58.63,261.43,7.18,4.67,9.45,-16777216,Calibri-Bold,612,792,256.76,530.57,51.45,553.37,S.,alsecure.pdf,Undefined
1,48.8,266.69,59.61,271.36,10.81,4.67,9.45,-16777216,Calibri-Bold,612,792,266.69,520.64,48.8,552.39,No.,alsecure.pdf,Undefined
1,153.9,261.73,214.82,266.4,60.92,4.67,9.45,-16777216,Calibri-Bold,612,792,261.73,525.6,153.9,397.18,Product Description,alsecure.pdf,Undefined
1,314.09,261.73,343.19,266.4,29.1,4.67,9.45,-16777216,Calibri-Bold,612,792,261.73,525.6,314.09,268.81,SAC Code,alsecure.pdf,Undefined
1,355.05,261.73,398.05,266.4,43,4.67,9.45,-16777216,Calibri-Bold,612,792,261.73,525.6,355.05,213.95,Taxable Value,alsecure.pdf,Undefined
1,428.9,255.64,446.03,261.43,17.13,5.79,11.7,-16777216,Calibri-Bold,612,792,255.64,530.57,428.9,165.97,IGST,alsecure.pdf,Undefined
1,495.81,260.63,519.28,267.61,23.47,6.98,14.1,-16777216,Calibri-Bold,612,792,260.63,524.39,495.81,92.72,Total,alsecure.pdf,Undefined
1,440.61,268.35,465.68,273.02,25.07,4.67,9.45,-16777216,Calibri-Bold,612,792,268.35,518.98,440.61,146.32,Amount,alsecure.pdf,Undefined
1,47.58,192.3,348.73,198.72,301.15,6.42,12.97,-16777216,Calibri-Bold,612,792,192.3,593.28,47.58,263.27,"Address:  O-10, HDFC BANK HOUSE, ASHOK MARG, C-SCHEME, JAIPUR -",alsecure.pdf,Undefined
1,47.58,205.66,98.08,212.08,50.5,6.42,12.97,-16777216,Calibri-Bold,612,792,205.66,579.92,47.58,513.92,RAJASTHAN,alsecure.pdf,Undefined
1,352.84,192.74,457.23,199.16,104.39,6.42,12.97,-16777216,Calibri-Bold,612,792,192.74,592.84,352.84,154.77,Invoice date: 06-06-2019,alsecure.pdf,Inv_date
1,352.84,206.1,429.3,212.52,76.46,6.42,12.97,-16777216,Calibri-Bold,612,792,206.1,579.48,352.84,182.7,Month- May-2019,alsecure.pdf,Undefined
1,47.58,219.46,163.83,225.88,116.25,6.42,12.97,-16777216,Calibri-Bold,612,792,219.46,566.12,47.58,448.17,GSTIN:  08AAACH2702H1Z0,alsecure.pdf,GSTIN
1,243.21,219.46,338.52,225.88,95.31,6.42,12.97,-16777216,Calibri-Bold,612,792,219.46,566.12,243.21,273.48,PAN No. AAACH2702H,alsecure.pdf,Undefined
1,352.84,219.46,450.58,225.88,97.74,6.42,12.97,-16777216,Calibri-Bold,612,792,219.46,566.12,352.84,161.42,Reverse Charge (Y/N):,alsecure.pdf,Undefined
1,74.85,69.78,513.79,80.26,438.94,10.48,20.95,-16777216,BookmanOldStyle-Bold,612,792,69.78,711.74,74.85,98.21,ALSECURE & PROTECTION SERVICES  (INDIA) PVT. LTD.,alsecure.pdf,Name
1,183.04,86.07,461.44,93.95,278.4,7.88,15.75,-16777216,BookmanOldStyle-Bold,612,792,86.07,698.05,183.04,150.56,"Plot No. 631/115 Anjanee Niwas Lohiya - Vihar, ",alsecure.pdf,Undefined
1,182.49,99.87,458.13,107.75,275.64,7.88,15.75,-16777216,BookmanOldStyle-Bold,612,792,99.87,684.25,182.49,153.87,"Patel Nagar, Indira nagar Lucknow, U.P.-226016",alsecure.pdf,Undefined
1,227.42,154.27,361.05,170.02,133.63,15.75,31.51,-16777216,BookmanOldStyle-Bold,612,792,154.27,621.98,227.42,250.95,Tax Invoice,alsecure.pdf,Undefined
1,47.58,179.27,147.84,185.69,100.26,6.42,12.97,-16777216,Calibri-Bold,612,792,179.27,606.31,47.58,464.16,Name: HDFC BANK LTD.,alsecure.pdf,Undefined
1,352.84,179.38,448.68,185.8,95.84,6.42,12.97,-16777216,Calibri-Bold,612,792,179.38,606.2,352.84,163.32,Invoice No: APSPL/093,alsecure.pdf,Inv_Num
2,18.22,104.87,28.72,109.21,10.5,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,18.22,763.28,SR.,alsecure.pdf,Undefined
2,17.14,113.9,28.16,118.24,11.02,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,17.14,763.84,NO.,alsecure.pdf,Undefined
2,34.44,95.85,54.79,100.19,20.35,4.34,8.78,-16777216,Calibri-Bold,792,612,95.85,511.81,34.44,737.21,Bill for,alsecure.pdf,Undefined
2,39,104.87,50.15,109.21,11.15,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,39,741.85,the,alsecure.pdf,Undefined
2,34.2,113.9,54.95,118.24,20.75,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,34.2,737.05,month,alsecure.pdf,Undefined
2,40.9,122.92,46.8,127.26,5.9,4.34,8.78,-16777216,Calibri-Bold,792,612,122.92,484.74,40.9,745.2,of,alsecure.pdf,Undefined
2,68.48,109.43,126.42,113.77,57.94,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,68.48,665.58,Name of the Agency,alsecure.pdf,Undefined
2,139.77,109.43,170.11,113.77,30.34,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,139.77,621.89,Invoice No,alsecure.pdf,Undefined
2,174.38,109.43,210.03,113.77,35.65,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,174.38,581.97,Invoice Date,alsecure.pdf,Undefined
2,217.18,109.43,252.17,113.77,34.99,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,217.18,539.83,Local Admin,alsecure.pdf,Undefined
2,264.13,104.87,294.65,109.21,30.52,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,264.13,497.35,Location /,alsecure.pdf,Undefined
2,260.49,113.9,296.72,118.24,36.23,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,260.49,495.28,Banch Name,alsecure.pdf,Undefined
2,302.72,100.4,319.72,104.74,17,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,302.72,472.28,Locati,alsecure.pdf,Undefined
2,307.52,109.43,316.52,113.77,9,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,307.52,475.48,on,alsecure.pdf,Undefined
2,303.96,118.45,318.51,122.79,14.55,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,303.96,473.49,Code,alsecure.pdf,Undefined
2,324.16,100.4,338.22,104.74,14.06,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,324.16,453.78,Cost,alsecure.pdf,Undefined
2,324.91,109.43,335.97,113.77,11.06,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,324.91,456.03,Cod,alsecure.pdf,Undefined
2,328.72,118.45,332.17,122.79,3.45,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,328.72,459.83,e,alsecure.pdf,Undefined
2,347.93,109.43,361.73,113.77,13.8,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,347.93,430.27,Type,alsecure.pdf,Undefined
2,373.18,95.85,386.07,100.19,12.89,4.34,8.78,-16777216,Calibri-Bold,792,612,95.85,511.81,373.18,405.93,Cate,alsecure.pdf,Undefined
2,373.26,104.87,387.48,109.21,14.22,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,373.26,404.52,gory,alsecure.pdf,Undefined
2,376.66,113.9,384.09,118.24,7.43,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,376.66,407.91,of,alsecure.pdf,Undefined
2,372.93,122.92,389.39,127.26,16.46,4.34,8.78,-16777216,Calibri-Bold,792,612,122.92,484.74,372.93,402.61,Staff,alsecure.pdf,Undefined
2,391.56,91.38,401.39,95.72,9.83,4.34,8.78,-16777216,Calibri-Bold,792,612,91.38,516.28,391.56,390.61,No,alsecure.pdf,Undefined
2,392.8,100.4,400.24,104.74,7.44,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,392.8,391.76,of,alsecure.pdf,Undefined
2,390.07,109.43,404.45,113.77,14.38,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,390.07,387.55,SEQ,alsecure.pdf,Undefined
2,390.15,118.45,401.35,122.79,11.2,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,390.15,390.65,Staf,alsecure.pdf,Undefined
2,394.62,127.48,396.8,131.82,2.18,4.34,8.78,-16777216,Calibri-Bold,792,612,127.48,480.18,394.62,395.2,f,alsecure.pdf,Undefined
2,406.55,82.35,418.2,86.69,11.65,4.34,8.78,-16777216,Calibri-Bold,792,612,82.35,525.31,406.55,373.8,No.,alsecure.pdf,Undefined
2,408.62,91.38,416.05,95.72,7.43,4.34,8.78,-16777216,Calibri-Bold,792,612,91.38,516.28,408.62,375.95,of,alsecure.pdf,Undefined
2,405.89,100.4,417.18,104.74,11.29,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,405.89,374.82,wor,alsecure.pdf,Undefined
2,405.64,109.43,419.11,113.77,13.47,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,405.64,372.89,king,alsecure.pdf,Undefined
2,404.73,118.45,418.34,122.79,13.61,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,404.73,373.66,hour,alsecure.pdf,Undefined
2,410.19,127.48,414.48,131.82,4.29,4.34,8.78,-16777216,Calibri-Bold,792,612,127.48,480.18,410.19,377.52,s,alsecure.pdf,Undefined
2,406.71,136.5,417.94,140.84,11.23,4.34,8.78,-16777216,Calibri-Bold,792,612,136.5,471.16,406.71,374.06,per,alsecure.pdf,Undefined
2,429.48,86.82,455.16,91.16,25.68,4.34,8.78,-16777216,Calibri-Bold,792,612,86.82,520.84,429.48,336.84,Rate,alsecure.pdf,Undefined
2,426.25,95.85,447.33,100.19,21.08,4.34,8.78,-16777216,Calibri-Bold,792,612,95.85,511.81,426.25,344.67,(as per,alsecure.pdf,Undefined
2,422.03,104.87,451.65,109.21,29.62,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,422.03,340.35,Minimum,alsecure.pdf,Undefined
2,421.53,113.9,452.05,118.24,30.52,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,421.53,339.95,wages Act,alsecure.pdf,Undefined
2,422.53,122.92,451.06,127.26,28.53,4.34,8.78,-16777216,Calibri-Bold,792,612,122.92,484.74,422.53,340.94,)10% mgt,alsecure.pdf,Undefined
2,427,131.95,445.01,136.29,18.01,4.34,8.78,-16777216,Calibri-Bold,792,612,131.95,475.71,427,346.99,added,alsecure.pdf,Undefined
2,453.99,86.82,466.91,91.16,12.92,4.34,8.78,-16777216,Calibri-Bold,792,612,86.82,520.84,453.99,325.09,Tota,alsecure.pdf,Undefined
2,459.62,95.85,462.83,100.19,3.21,4.34,8.78,-16777216,Calibri-Bold,792,612,95.85,511.81,459.62,329.17,l,alsecure.pdf,Undefined
2,453.91,104.87,468.55,109.21,14.64,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,453.91,323.45,days,alsecure.pdf,Undefined
2,456.31,113.9,466.23,118.24,9.92,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,456.31,325.77,for,alsecure.pdf,Undefined
2,453.91,122.92,466.95,127.26,13.04,4.34,8.78,-16777216,Calibri-Bold,792,612,122.92,484.74,453.91,325.05,mon,alsecure.pdf,Undefined
2,457.39,131.95,463.48,136.29,6.09,4.34,8.78,-16777216,Calibri-Bold,792,612,131.95,475.71,457.39,328.52,th,alsecure.pdf,Undefined
2,476.35,104.87,501.25,109.21,24.9,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,476.35,290.75,Amount,alsecure.pdf,Undefined
2,476.76,113.9,499.27,118.24,22.51,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,476.76,292.73,Payable,alsecure.pdf,Undefined
2,509.05,86.82,522.45,91.16,13.4,4.34,8.78,-16777216,Calibri-Bold,792,612,86.82,520.84,509.05,269.55,Less,alsecure.pdf,Undefined
2,509.72,95.85,520.33,100.19,10.61,4.34,8.78,-16777216,Calibri-Bold,792,612,95.85,511.81,509.72,271.67,Abs,alsecure.pdf,Undefined
2,509.39,104.87,520.67,109.21,11.28,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,509.39,271.33,enti,alsecure.pdf,Undefined
2,510.79,113.9,520.71,118.24,9.92,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,510.79,271.29,sm,alsecure.pdf,Undefined
2,509.8,122.92,520.18,127.26,10.38,4.34,8.78,-16777216,Calibri-Bold,792,612,122.92,484.74,509.8,271.82,day,alsecure.pdf,Undefined
2,513.61,131.95,516.35,136.29,2.74,4.34,8.78,-16777216,Calibri-Bold,792,612,131.95,475.71,513.61,275.65,s,alsecure.pdf,Undefined
2,526.86,100.4,549.02,104.74,22.16,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,526.86,242.98,Rate of,alsecure.pdf,Undefined
2,524.87,109.43,549.47,113.77,24.6,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,524.87,242.53,Absentis,alsecure.pdf,Undefined
2,534.39,118.45,539.98,122.79,5.59,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,534.39,252.02,m,alsecure.pdf,Undefined
2,554.84,100.4,578.42,104.74,23.58,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,554.84,213.58,Total of,alsecure.pdf,Undefined
2,553.52,109.43,578.12,113.77,24.6,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,553.52,213.88,Absentis,alsecure.pdf,Undefined
2,563.04,118.45,568.63,122.79,5.59,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,563.04,223.37,m,alsecure.pdf,Undefined
2,592.43,86.82,608.56,91.16,16.13,4.34,8.78,-16777216,Calibri-Bold,792,612,86.82,520.84,592.43,183.44,Total,alsecure.pdf,Undefined
2,588.05,95.85,612.95,100.19,24.9,4.34,8.78,-16777216,Calibri-Bold,792,612,95.85,511.81,588.05,179.05,Amount,alsecure.pdf,Undefined
2,588.46,104.87,612.54,109.21,24.08,4.34,8.78,-16777216,Calibri-Bold,792,612,104.87,502.79,588.46,179.46,Payable,alsecure.pdf,Undefined
2,590.86,113.9,610.22,118.24,19.36,4.34,8.78,-16777216,Calibri-Bold,792,612,113.9,493.76,590.86,181.78,(Inclu.,alsecure.pdf,Undefined
2,589.54,122.92,611.52,127.26,21.98,4.34,8.78,-16777216,Calibri-Bold,792,612,122.92,484.74,589.54,180.48,Service,alsecure.pdf,Undefined
2,588.71,131.95,610.8,136.29,22.09,4.34,8.78,-16777216,Calibri-Bold,792,612,131.95,475.71,588.71,181.2,Charge),alsecure.pdf,Undefined
2,623.73,109.43,650.1,113.77,26.37,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,623.73,141.9,IGST 18%,alsecure.pdf,Undefined
2,655.78,91.38,663.65,95.72,7.87,4.34,8.78,-16777216,Calibri-Bold,792,612,91.38,516.28,655.78,128.35,UT,alsecure.pdf,Undefined
2,655.94,100.4,663.58,104.74,7.64,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,655.94,128.42,GS,alsecure.pdf,Undefined
2,658.01,109.43,662.96,113.77,4.95,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,658.01,129.04,T,alsecure.pdf,Undefined
2,656.27,118.45,663.24,122.79,6.97,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,656.27,128.76,18,alsecure.pdf,Undefined
2,657.18,127.48,662.19,131.82,5.01,4.34,8.78,-16777216,Calibri-Bold,792,612,127.48,480.18,657.18,129.81,%,alsecure.pdf,Undefined
2,667.95,100.4,675.97,104.74,8.02,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,667.95,116.03,CG,alsecure.pdf,Undefined
2,668.69,109.43,676.87,113.77,8.18,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,668.69,115.13,ST,alsecure.pdf,Undefined
2,667.7,118.45,676.19,122.79,8.49,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,667.7,115.81,9%,alsecure.pdf,Undefined
2,681.2,100.4,688.8,104.74,7.6,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,681.2,103.2,SG,alsecure.pdf,Undefined
2,681.69,109.43,689.87,113.77,8.18,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,681.69,102.13,ST,alsecure.pdf,Undefined
2,680.7,118.45,689.19,122.79,8.49,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,680.7,102.81,9%,alsecure.pdf,Undefined
2,693.53,82.35,697.7,86.69,4.17,4.34,8.78,-16777216,Calibri-Bold,792,612,82.35,525.31,693.53,94.3,A,alsecure.pdf,Undefined
2,693.45,91.38,697.78,95.72,4.33,4.34,8.78,-16777216,Calibri-Bold,792,612,91.38,516.28,693.45,94.22,D,alsecure.pdf,Undefined
2,693.45,100.4,697.78,104.74,4.33,4.34,8.78,-16777216,Calibri-Bold,792,612,100.4,507.26,693.45,94.22,D,alsecure.pdf,Undefined
2,692.95,109.43,698.18,113.77,5.23,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,692.95,93.82,IT,alsecure.pdf,Undefined
2,694.69,118.45,696.53,122.79,1.84,4.34,8.78,-16777216,Calibri-Bold,792,612,118.45,489.21,694.69,95.47,I,alsecure.pdf,Undefined
2,693.28,127.48,697.93,131.82,4.65,4.34,8.78,-16777216,Calibri-Bold,792,612,127.48,480.18,693.28,94.07,O,alsecure.pdf,Undefined
2,693.28,136.5,697.81,140.84,4.53,4.34,8.78,-16777216,Calibri-Bold,792,612,136.5,471.16,693.28,94.19,N,alsecure.pdf,Undefined
2,703.05,109.43,736.94,113.77,33.89,4.34,8.78,-16777216,Calibri-Bold,792,612,109.43,498.23,703.05,55.06,Grand Total,alsecure.pdf,Undefined
2,21.2,149.34,24.68,153.68,3.48,4.34,8.73,-16777216,Calibri,792,612,149.34,458.32,21.2,767.32,1,alsecure.pdf,Undefined
2,33.37,149.34,54.73,153.68,21.36,4.34,8.73,-16777216,Calibri,792,612,149.34,458.32,33.37,737.27,19-May,alsecure.pdf,Undefined
2,66.82,144.87,129.54,149.21,62.72,4.34,8.73,-16777216,Calibri,792,612,144.87,462.79,66.82,662.46,Alsecure & Protection,alsecure.pdf,Undefined
2,63.34,153.89,131.44,158.23,68.1,4.34,8.73,-16777216,Calibri,792,612,153.89,453.77,63.34,660.56,Services ( India) Pvt. Ltd.,alsecure.pdf,Undefined
2,138.94,149.34,169.16,153.68,30.22,4.34,8.73,-16777216,Calibri,792,612,149.34,458.32,138.94,622.84,APSPL/093,alsecure.pdf,Undefined
2,176.78,149.34,208.07,153.68,31.29,4.34,8.73,-16777216,Calibri,792,612,149.34,458.32,176.78,583.93,06.06.2019,alsecure.pdf,Undefined
2,213.38,144.87,253.25,149.21,39.87,4.34,8.73,-16777216,Calibri,792,612,144.87,462.79,213.38,538.75,Rajesh Kumar,alsecure.pdf,Undefined
2,213.38,153.89,229.09,158.23,15.71,4.34,8.73,-16777216,Calibri,792,612,153.89,453.77,213.38,562.91,Arora,alsecure.pdf,Undefined
2,258.42,149.34,284.72,153.68,26.3,4.34,8.73,-16777216,Calibri,792,612,149.34,458.32,258.42,507.28,Pindwara,alsecure.pdf,Undefined
2,304.46,149.34,318.37,153.68,13.91,4.34,8.73,-16777216,Calibri,792,612,149.34,458.32,304.46,473.63,9350,alsecure.pdf,Undefined
